class,link,visual_type0,visual_type1,visual_type2,visual_type3,visual_type4,visual_type5,visual_purpose0,visual_purpose1,visual_purpose2,visual_purpose3,visual_purpose4,visual_purpose5,bug_type,ClosedTime,Participants,DescriptionLength,Comments,FirstCommentTime,LastCommentTime
img,https://github.com/cleverraven/cataclysm-dda/issues/40188,Output,Output,Output,,,,example,example,example,,,,Program anomaly issue,162.358009,3,55,3,0.7416203704,153.9320139
img,https://github.com/rancher/rancher/issues/9478,Output,,,,,,example,,,,,,Database-related issue,14.7143519,1,41,2,14.65034722,14.71435185
img,https://github.com/godotengine/godot/issues/43388,UserInterface,,,,,,example,,,,,,GUI-related issue,99.4437963,2,6,2,0.1096064815,99.4437963
img,https://github.com/godotengine/godot/issues/29234,Output,,,,,,example,,,,,,GUI-related issue,77.8065625,1,32,1,45.63381944,45.63381944
img,https://github.com/elastic/kibana/issues/68393,UserInterface,,,,,,example,,,,,,Program anomaly issue,3.94278935,1,25,1,1.16E-05,1.16E-05
img,https://github.com/wordpress/gutenberg/issues/6393,UserInterface,,,,,,additional information,,,,,,Program anomaly issue,29.7791898,0,9,0,,
img,https://github.com/zephyrproject-rtos/zephyr/issues/34305,Logs,Logs,Configuration,Configuration,,,example,example,example,example,,,Program anomaly issue,80.8079514,1,177,2,0.9071643519,1.029988426
img,https://github.com/mozilla-mobile/fenix/issues/8536,Output,,,,,,example,,,,,,Program anomaly issue,0.02628472,1,46,1,0.02628472222,0.02628472222
img,https://github.com/adguardteam/adguardfilters/issues/47694,Logs,Output,,,,,example,example,,,,,Network issue,0.53905093,1,89,1,0.5391898148,0.5391898148
img,https://github.com/microsoft/vscode/issues/135940,Output,Output,,,,,example,example,,,,,Program anomaly issue,51.3509838,1,41,1,0.1802893519,0.1802893519
img,https://github.com/godotengine/godot/issues/36900,Logs,,,,,,example,,,,,,Program anomaly issue,691.329398,2,34,4,0.004814814815,691.3293981
img,https://github.com/elastic/kibana/issues/99585,Others,,,,,,additional information,,,,,,Program anomaly issue,11.9514699,0,40,0,,
img,https://github.com/cleverraven/cataclysm-dda/issues/44693,Output,Output,,,,,example,example,,,,,GUI-related issue,7.53290509,1,93,2,6.296111111,6.374363426
img,https://github.com/elastic/kibana/issues/82173,Logs,,,,,,example,,,,,,Program anomaly issue,3.03737269,1,31,1,2.31E-05,2.31E-05
img,https://github.com/qgis/qgis/issues/32806,Output,,,,,,example,,,,,,GUI-related issue,257.109491,2,20,2,160.8878588,257.1094907
img,https://github.com/cleverraven/cataclysm-dda/issues/51668,Configuration,Output,,,,,example,example,,,,,Program anomaly issue,0.62553241,0,130,1,0.0003703703704,0.0003703703704
img,https://github.com/cleverraven/cataclysm-dda/issues/43973,Configuration,Output,Others,,,,example,example,example,,,,Program anomaly issue,1.24578704,0,57,0,,
img,https://github.com/cleverraven/cataclysm-dda/issues/45270,Output,,,,,,example,,,,,,Program anomaly issue,3.08966435,2,98,2,0.07699074074,0.07741898148
img,https://github.com/rancher/rancher/issues/32856,Performance,Performance,,,,,example,example,,,,,Performance issue,17.0893171,2,118,3,2.973854167,17.08930556
img,https://github.com/godotengine/godot/issues/17953,Output,Output,,,,,example,example,,,,,Program anomaly issue,113.868044,3,139,3,2.266701389,113.868044
img,https://github.com/microsoft/typescript/issues/46814,Code,,,,,,example,,,,,,Program anomaly issue,88.122037,2,61,3,0.8761805556,4.346585648
img,https://github.com/microsoft/vscode/issues/119865,UserInterface,,,,,,example,,,,,,GUI-related issue,7.52174769,2,44,3,0.2352430556,7.521724537
img,https://github.com/qgis/qgis/issues/34628,Output,,,,,,example,,,,,,GUI-related issue,773.483704,3,128,3,731.1141088,731.1593171
img,https://github.com/facebook/react-native/issues/17267,Output,Output,,,,,example,example,,,,,GUI-related issue,126.814931,27,132,55,0.001168981481,175.0175347
img,https://github.com/wordpress/gutenberg/issues/9773,Diagram,,,,,,example,,,,,,GUI-related issue,223.747153,1,85,1,223.7471528,223.7471528
img,https://github.com/elastic/kibana/issues/74812,Logs,,,,,,additional information,,,,,,Program anomaly issue,6.63268519,1,59,1,0.0001041666667,0.0001041666667
img,https://github.com/godotengine/godot/issues/10184,Others,,,,,,example,,,,,,Program anomaly issue,163.8261,6,64,15,0.001898148148,163.8260995
img,https://github.com/godotengine/godot/issues/38111,Configuration,,,,,,example,,,,,,Performance issue,2.37258102,3,65,3,0.1623148148,1.034421296
img,https://github.com/vector-im/element-web/issues/18595,Logs,,,,,,example,,,,,,Program anomaly issue,0.83736111,1,35,1,0.8373611111,0.8373611111
img,https://github.com/vector-im/element-web/issues/9006,Logs,,,,,,additional information,,,,,,Program anomaly issue,5.82509259,1,5,2,0.625162037,5.825092593
img,https://github.com/microsoft/vscode/issues/119855,UserInterface,UserInterface,,,,,additional information,additional information,,,,,GUI-related issue,0.00905093,0,2,1,0.003032407407,0.003032407407
img,https://github.com/rancher/rancher/issues/14761,Others,,,,,,example,,,,,,Program anomaly issue,6.86408565,0,24,1,6.864085648,6.864085648
img,https://github.com/woocommerce/woocommerce/issues/17957,Logs,,,,,,example,,,,,,Program anomaly issue,0.09951389,2,93,8,48.04186343,51.03576389
img,https://github.com/wordpress/gutenberg/issues/9422,UserInterface,,,,,,example,,,,,,GUI-related issue,12.1310532,0,12,0,,
img,https://github.com/woocommerce/woocommerce/issues/27360,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,11.0613426,1,34,2,2.636493056,2.666550926
img,https://github.com/microsoft/vscode/issues/106302,UserInterface,,,,,,additional information,,,,,,GUI-related issue,0.07416667,0,19,0,,
img,https://github.com/qgis/qgis/issues/45567,Configuration,,,,,,example,,,,,,Program anomaly issue,14.2528819,2,73,9,0.009895833333,14.23273148
img,https://github.com/godotengine/godot/issues/21853,Output,,,,,,example,,,,,,Program anomaly issue,103.522292,5,33,10,1.585717593,104.3690046
img,https://github.com/wordpress/gutenberg/issues/6105,Output,Output,,,,,example,example,,,,,GUI-related issue,202.141042,2,63,2,191.1396065,202.1410417
img,https://github.com/mozilla-mobile/fenix/issues/5038,Output,Output,,,,,example,example,,,,,Program anomaly issue,306.914537,4,31,15,269.6401968,306.9143056
img,https://github.com/grafana/grafana/issues/31065,Diagram,,,,,,example,,,,,,Program anomaly issue,49.4150347,2,121,5,0.5214583333,33.77054398
img,https://github.com/cleverraven/cataclysm-dda/issues/51807,Output,Output,Output,Output,,,example,example,example,example,,,Program anomaly issue,48.4124306,2,165,3,44.88965278,46.21440972
img,https://github.com/rancher/rancher/issues/23616,Output,Output,,,,,example,example,,,,,Program anomaly issue,2.94792824,1,39,2,2.687256944,2.947928241
img,https://github.com/vector-im/element-web/issues/16080,Output,Output,,,,,example,example,,,,,GUI-related issue,0.01818287,1,89,1,0.01818287037,0.01818287037
img,https://github.com/elastic/kibana/issues/116457,Output,,,,,,additional information,,,,,,GUI-related issue,3.00290509,2,7,3,2.31E-05,0.0250462963
img,https://github.com/cleverraven/cataclysm-dda/issues/50860,Diagram,,,,,,example,,,,,,Program anomaly issue,18.0403588,5,98,11,0.02210648148,1.130011574
img,https://github.com/grafana/grafana/issues/43988,Output,,,,,,example,,,,,,Program anomaly issue,19.0854051,2,95,7,0.001863425926,19.02456019
img,https://github.com/elastic/kibana/issues/85374,Output,Output,Output,,,,example,example,example,,,,GUI-related issue,36.5981019,4,83,10,0.0004513888889,42.97945602
img,https://github.com/ballerina-platform/ballerina-lang/issues/28167,Output,,,,,,additional information,,,,,,Program anomaly issue,36.0693056,0,18,0,,
img,https://github.com/eclipse/che/issues/21017,Logs,,,,,,example,,,,,,Network issue,19.7759954,1,80,1,19.77599537,19.77599537
img,https://github.com/hashicorp/terraform/issues/30381,Logs,,,,,,example,,,,,,Program anomaly issue,0.05262731,2,29,2,0.05262731481,0.07828703704
img,https://github.com/rancher/rancher/issues/17557,Output,,,,,,example,,,,,,Program anomaly issue,15.8718866,2,31,3,1.843252315,15.87188657
img,https://github.com/grafana/grafana/issues/26802,Configuration,,,,,,example,,,,,,Program anomaly issue,376.031979,3,64,3,3.737060185,376.0319792
img,https://github.com/vector-im/element-web/issues/18562,UserInterface,,,,,,example,,,,,,GUI-related issue,2.39064815,0,24,0,,
img,https://github.com/ballerina-platform/ballerina-lang/issues/31385,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,39.9442477,0,38,0,,
img,https://github.com/ballerina-platform/ballerina-lang/issues/8901,Logs,,,,,,example,,,,,,Program anomaly issue,4.68790509,0,59,0,,
img,https://github.com/wordpress/gutenberg/issues/15443,UserInterface,,,,,,example,,,,,,GUI-related issue,341.085613,4,60,4,0.6205555556,341.0856134
img,https://github.com/eclipse/che/issues/11071,Logs,,,,,,example,,,,,,Program anomaly issue,1.8065625,0,72,0,,
img,https://github.com/microsoft/vscode/issues/101637,Logs,Logs,,,,,example,example,,,,,Program anomaly issue,4.02571759,1,37,3,2.119027778,3.740451389
img,https://github.com/vector-im/element-web/issues/20314,Output,,,,,,example,,,,,,GUI-related issue,68.6811111,0,45,1,65.72460648,65.72460648
img,https://github.com/microsoft/vscode/issues/94553,Output,,,,,,example,,,,,,Program anomaly issue,0.00224537,0,8,0,,
img,https://github.com/vector-im/element-web/issues/16288,Output,,,,,,example,,,,,,GUI-related issue,0.00267361,0,32,1,0.002673611111,0.002673611111
img,https://github.com/elastic/kibana/issues/15501,Output,,,,,,example,,,,,,Program anomaly issue,13.1631713,1,37,1,0.2723958333,0.2723958333
img,https://github.com/elastic/kibana/issues/13677,Output,,,,,,example,,,,,,GUI-related issue,531.872488,3,46,4,349.0677546,531.8724884
img,https://github.com/cleverraven/cataclysm-dda/issues/22104,Output,,,,,,example,,,,,,Program anomaly issue,24.4774884,1,64,1,1.268506944,1.268506944
img,https://github.com/wordpress/gutenberg/issues/5369,Logs,,,,,,example,,,,,,Program anomaly issue,4.81195602,0,42,0,,
img,https://github.com/rancher/rancher/issues/19108,Output,,,,,,example,,,,,,Program anomaly issue,217.87,0,73,0,,
img,https://github.com/microsoft/vscode/issues/140118,,,,,,,,,,,,,,61.271331,1,56,1,0.001134259259,0.001134259259
img,https://github.com/elastic/kibana/issues/38557,Output,,,,,,example,,,,,,GUI-related issue,517.940208,3,34,5,0.001157407407,517.9402083
img,https://github.com/microsoft/vscode/issues/106169,UserInterface,,,,,,example,,,,,,GUI-related issue,1.83702546,0,24,0,,
img,https://github.com/godotengine/godot/issues/27951,Output,Output,,,,,example,example,,,,,Program anomaly issue,688.831551,4,48,7,494.3694444,702.2162847
img,https://github.com/elastic/elasticsearch/issues/63681,Logs,Output,,,,,example,example,,,,,Program anomaly issue,62.7764468,2,82,5,3.47E-05,62.77644676
img,https://github.com/wordpress/gutenberg/issues/17975,Output,,,,,,example,,,,,,GUI-related issue,47.018206,1,59,2,37.08961806,37.09369213
img,https://github.com/vector-im/element-web/issues/15063,Output,Output,,,,,example,example,,,,,Program anomaly issue,0.02081019,1,61,2,0.02081018519,0.0493287037
img,https://github.com/facebook/react-native/issues/26992,Logs,,,,,,example,,,,,,Program anomaly issue,3.79291667,1,114,1,1.59744213,1.59744213
img,https://github.com/wordpress/gutenberg/issues/11327,Output,,,,,,example,,,,,,Program anomaly issue,1.05222222,1,97,1,0.03644675926,0.03644675926
img,https://github.com/wordpress/gutenberg/issues/7150,UserInterface,,,,,,additional information,,,,,,GUI-related issue,0.67640046,0,22,0,,
img,https://github.com/microsoft/vscode/issues/112326,Output,,,,,,example,,,,,,GUI-related issue,25.0386806,1,28,1,25.03868056,25.03868056
img,https://github.com/mozilla-mobile/fenix/issues/3564,Others,,,,,,additional information,,,,,,Program anomaly issue,429.493565,1,28,4,1.025752315,5.625740741
img,https://github.com/elastic/kibana/issues/87829,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,0.0697338,2,80,3,0.0003356481481,0.0697337963
img,https://github.com/godotengine/godot/issues/12139,Output,Output,,,,,example,example,,,,,Program anomaly issue,970.411991,3,24,5,336.5154051,1004.477801
img,https://github.com/facebook/react-native/issues/27239,Output,,,,,,example,,,,,,Program anomaly issue,66.2689005,2,24,1,66.26890046,66.26890046
img,https://github.com/elastic/kibana/issues/115352,,,,,,,,,,,,,,1.7658912,2,33,2,3.47E-05,14.32229167
img,https://github.com/qgis/qgis/issues/37808,Output,,,,,,example,,,,,,Program anomaly issue,30.9070602,1,53,18,0.02908564815,30.90706019
img,https://github.com/elastic/kibana/issues/102216,UserInterface,,,,,,example,,,,,,GUI-related issue,1.03502315,1,13,1,1.035023148,1.035023148
img,https://github.com/facebook/react-native/issues/20087,Logs,,,,,,example,,,,,,Program anomaly issue,23.744213,4,13,5,5.164803241,69.40188657
img,https://github.com/mozilla-mobile/fenix/issues/9604,UserInterface,,,,,,example,,,,,,GUI-related issue,4.3899537,1,27,1,4.389953704,4.389953704
img,https://github.com/elastic/kibana/issues/116739,Diagram,,,,,,example,,,,,,GUI-related issue,143.461991,3,84,7,3.47E-05,143.8753356
img,https://github.com/rancher/rancher/issues/32838,Others,,,,,,example,,,,,,Program anomaly issue,84.1602894,2,84,7,12.91208333,84.16028935
img,https://github.com/eclipse/che/issues/16814,Logs,,,,,,additional information,,,,,,Program anomaly issue,264.964375,2,57,1,3.955196759,3.955196759
img,https://github.com/vector-im/element-web/issues/11241,UserInterface,,,,,,example,,,,,,GUI-related issue,0.05957176,1,65,1,0.05957175926,0.05957175926
img,https://github.com/vector-im/element-web/issues/18098,UserInterface,,,,,,example,,,,,,GUI-related issue,0.00846065,1,24,1,0.008460648148,0.008460648148
img,https://github.com/wordpress/gutenberg/issues/5757,UserInterface,,,,,,example,,,,,,GUI-related issue,26.2144907,0,61,0,,
img,https://github.com/microsoft/vscode/issues/125334,Output,,,,,,additional information,,,,,,Program anomaly issue,0.14584491,1,0,0,0.01936342593,0.01936342593
img,https://github.com/eclipse/che/issues/10063,Output,,,,,,example,,,,,,Program anomaly issue,55.9403472,0,13,1,55.94034722,55.94034722
img,https://github.com/vector-im/element-web/issues/12750,Output,,,,,,example,,,,,,GUI-related issue,486.387905,1,30,1,486.3879051,486.3879051
img,https://github.com/cleverraven/cataclysm-dda/issues/33275,Output,,,,,,example,,,,,,Program anomaly issue,40.5691319,2,61,5,0.1212152778,40.09538194
img,https://github.com/mozilla-mobile/fenix/issues/12197,Diagram,,,,,,example,,,,,,Program anomaly issue,111.012975,0,62,1,111.0129745,111.0129745
img,https://github.com/mozilla-mobile/fenix/issues/11774,UserInterface,UserInterface,,,,,example,example,,,,,GUI-related issue,121.58059,3,38,6,10.04445602,121.5805903
img,https://github.com/eclipse/che/issues/10138,Diagram,,,,,,example,,,,,,Program anomaly issue,0.03862269,1,68,1,0.03862268519,0.03862268519
img,https://github.com/facebook/react-native/issues/27633,Logs,,,,,,additional information,,,,,,Program anomaly issue,38.4851389,1,12,0,0.003993055556,0.003993055556
img,https://github.com/grafana/grafana/issues/36586,Output,Output,,,,,example,example,,,,,Program anomaly issue,12.520625,1,54,1,5.404236111,5.404236111
img,https://github.com/rancher/rancher/issues/17682,Logs,,,,,,example,,,,,,Program anomaly issue,64.1700463,3,29,3,0.9848842593,64.1700463
img,https://github.com/wordpress/gutenberg/issues/25978,Output,Output,Output,Logs,,,example,example,example,example,,,GUI-related issue,48.180787,1,103,1,25.82355324,25.82355324
img,https://github.com/wordpress/gutenberg/issues/8717,UserInterface,UserInterface,,,,,example,example,,,,,GUI-related issue,1.79412037,0,22,0,,
img,https://github.com/eclipse/che/issues/19307,Logs,,,,,,example,,,,,,Program anomaly issue,7.25070602,1,70,3,0.1177893519,7.905659722
img,https://github.com/godotengine/godot/issues/54059,Output,,,,,,example,,,,,,Program anomaly issue,36.1449537,1,35,1,0.1004513889,0.1004513889
img,https://github.com/rancher/rancher/issues/17622,Output,Output,,,,,example,example,,,,,Program anomaly issue,2.91608796,0,42,1,2.916087963,2.916087963
img,https://github.com/qgis/qgis/issues/36287,Logs,,,,,,example,,,,,,Program anomaly issue,1.14530093,2,168,4,0.004803240741,1.140625
img,https://github.com/elastic/kibana/issues/15668,Output,,,,,,example,,,,,,GUI-related issue,435.910822,3,30,3,35.80368056,428.8626968
img,https://github.com/grafana/grafana/issues/34490,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,3.77768519,0,36,0,,
img,https://github.com/godotengine/godot/issues/44331,Others,,,,,,example,,,,,,Program anomaly issue,0.01111111,1,27,1,0.01109953704,0.01109953704
img,https://github.com/vector-im/element-web/issues/19623,UserInterface,,,,,,additional information,,,,,,GUI-related issue,0.19934028,1,10,1,0.09016203704,0.09016203704
img,https://github.com/eclipse/che/issues/16341,Logs,,,,,,additional information,,,,,,Program anomaly issue,75.2290162,0,57,0,,
img,https://github.com/qgis/qgis/issues/34524,UserInterface,UserInterface,,,,,example,example,,,,,GUI-related issue,0.91174769,3,19,5,0.0390625,0.9117361111
img,https://github.com/godotengine/godot/issues/12420,Logs,,,,,,example,,,,,,Program anomaly issue,350.313484,1,24,1,350.3134838,350.3134838
img,https://github.com/wordpress/gutenberg/issues/29311,UserInterface,,,,,,example,,,,,,GUI-related issue,26.5661227,1,15,1,26.56611111,26.56611111
img,https://github.com/elastic/kibana/issues/16530,Output,,,,,,example,,,,,,Program anomaly issue,2.82711806,0,6,0,,
img,https://github.com/grafana/grafana/issues/24399,Output,,,,,,example,,,,,,Program anomaly issue,6.58108796,2,40,8,0.607037037,5.912858796
img,https://github.com/microsoft/vscode/issues/128445,Output,,,,,,example,,,,,,Program anomaly issue,14.8541782,4,51,10,0.7859259259,14.85699074
img,https://github.com/microsoft/vscode/issues/90490,Output,,,,,,additional information,,,,,,Program anomaly issue,0.08023148,1,5,2,15.07061343,15.07115741
img,https://github.com/elastic/kibana/issues/104056,Diagram,Output,,,,,example,example,,,,,Program anomaly issue,11.2605787,3,95,4,2.31E-05,11.2605787
img,https://github.com/rancher/rancher/issues/20468,Output,Output,Output,,,,example,example,example,,,,Program anomaly issue,4.90657407,2,35,4,0.6349421296,4.906574074
img,https://github.com/microsoft/vscode/issues/91483,Output,,,,,,example,,,,,,GUI-related issue,0.89871528,0,105,0,,
img,https://github.com/magento/magento2/issues/9929,Output,,,,,,example,,,,,,Program anomaly issue,101.313958,2,77,3,0.7037037037,101.3139583
img,https://github.com/cleverraven/cataclysm-dda/issues/24955,Diagram,,,,,,example,,,,,,Program anomaly issue,27.0463657,5,51,5,0.04925925926,27.08262731
img,https://github.com/microsoft/powertoys/issues/8133,Output,Output,,,,,example,example,,,,,GUI-related issue,10.2389352,3,83,3,0.005405092593,0.03027777778
img,https://github.com/vector-im/element-web/issues/7548,UserInterface,,,,,,additional information,,,,,,GUI-related issue,2.62565972,2,2,5,1.567476852,2.625659722
img,https://github.com/ytdl-org/youtube-dl/issues/14582,Logs,,,,,,example,,,,,,Network issue,1564.00123,7,149,15,1.389224537,1230.068588
img,https://github.com/godotengine/godot/issues/31118,Logs,,,,,,additional information,,,,,,Program anomaly issue,66.5999884,0,16,0,,
img,https://github.com/cleverraven/cataclysm-dda/issues/44148,Output,Configuration,,,,,example,example,,,,,Program anomaly issue,214.462477,1,230,1,214.4624769,214.4624769
img,https://github.com/wordpress/gutenberg/issues/12139,Output,Output,Code,,,,example,example,example,,,,Program anomaly issue,1.41427083,1,85,2,0.7115277778,0.7866782407
img,https://github.com/vector-im/element-web/issues/6243,UserInterface,,,,,,additional information,,,,,,GUI-related issue,0.03145833,1,0,1,0.00650462963,0.00650462963
img,https://github.com/elastic/kibana/issues/44737,Logs,,,,,,example,,,,,,Program anomaly issue,1.06886574,1,180,1,1.16E-05,1.16E-05
img,https://github.com/grafana/grafana/issues/22749,Diagram,,,,,,example,,,,,,Program anomaly issue,315.071609,1,63,1,0.001608796296,0.001608796296
img,https://github.com/elastic/elasticsearch/issues/57846,Output,,,,,,example,,,,,,Program anomaly issue,483.409595,2,63,8,0.007708333333,483.4095949
img,https://github.com/microsoft/typescript/issues/22834,Output,,,,,,example,,,,,,Program anomaly issue,31.069919,1,32,6,20.91553241,31.06991898
img,https://github.com/eclipse/che/issues/19873,Output,,,,,,example,,,,,,Program anomaly issue,0.6131713,0,98,0,,
img,https://github.com/tensorflow/tensorflow/issues/27520,Logs,Logs,,,,,additional information,example,,,,,Program anomaly issue,1035.26041,2,275,1,1021.220706,1021.220706
img,https://github.com/elastic/kibana/issues/67139,UserInterface,,,,,,additional information,,,,,,GUI-related issue,172.859005,2,5,2,1.16E-05,0.6783449074
img,https://github.com/microsoft/vscode/issues/115087,UserInterface,UserInterface,,,,,additional information,example,,,,,GUI-related issue,2.31665509,2,6,3,1.199259259,2.316747685
img,https://github.com/rancher/rancher/issues/18812,Output,,,,,,example,,,,,,Program anomaly issue,0.61876157,0,56,1,0.6187615741,0.6187615741
img,https://github.com/microsoft/vscode/issues/132824,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,3.18318287,3,55,4,0.1096527778,6.283842593
img,https://github.com/microsoft/powertoys/issues/13383,Diagram,,,,,,example,,,,,,Performance issue,193.088252,4,25,7,0.2904398148,193.0882523
img,https://github.com/microsoft/vscode/issues/107784,Diagram,Diagram,,,,,example,example,,,,,Program anomaly issue,8.04908565,0,9,0,,
img,https://github.com/eclipse/che/issues/16130,Logs,,,,,,example,,,,,,Configuration issue,154.988056,1,98,2,0.02430555556,0.02953703704
img,https://github.com/godotengine/godot/issues/23848,Output,,,,,,example,,,,,,Program anomaly issue,7.33304398,2,45,2,5.33119213,7.333043981
img,https://github.com/elastic/kibana/issues/16117,Configuration,Logs,,,,,example,example,,,,,Program anomaly issue,0.56,1,60,1,0.56,0.56
